Sim1,Sim2,Sim3,Sim4,Sim5,Sim6,Sim7,Sim8,Sim9,Sim10
-0.001831672,0.004561093,0.018918701,0.00614266,-0.013164251,-0.026634578,-0.003607024,0.000157705,-0.005667592,0.007281058
0.003000501,-0.00124035,-0.002772672,0.007621118,-0.025298782,-0.003844349,0.015899549,0.012925346,-0.00880861,0.001417463
-0.007465536,-0.004718097,0.014863916,-0.003731213,-0.001382752,0.003699143,0.001900966,-0.001697244,0.005775094,-0.011753438
0.00095983,0.015323991,-0.007059361,0.003325738,0.021706686,0.0495429,-0.01383485,0.000597565,0.001303465,0.010808519
-0.002661067,-0.02489317,-0.004432681,0.005681485,0.0141082,-0.013823629,0.008094052,0.00275506,0.003977833,-0.001758506
-0.009060636,-0.032043671,0.008089192,-0.000332019,-0.015136682,0.01705431,-0.00562598,-0.000982466,-0.01009997,0.005590333
0.014396486,0.008913214,-0.002447805,0.00059719,-0.007891872,-0.012117148,-0.000601949,-0.01926886,-0.019864174,0.009846541
-0.004150588,0.002078564,0.005366043,0.001590518,-0.001089131,0.004621517,-0.002922816,0.001984611,-0.032414702,-0.016047841
0.003238337,-0.00446394,0.016902252,-0.003977882,-0.007633532,-0.048621645,0.013575894,-0.002022413,-0.021456937,-0.004989709
0.011044462,-0.030754152,-0.001309638,-0.045572372,0.000258129,-0.037424118,-0.032522036,0.004011142,0.001181821,-0.000278958
-0.009414968,-0.021828588,-0.010592761,-0.008506585,0.003282935,-0.000175343,-0.00092468,-0.004119163,-0.002271365,0.005174444
0.008926525,0.026926599,-0.000701991,-0.014717311,0.000909225,0.037132493,0.004565104,0.005561285,-0.015177857,-0.003079771
-0.004553118,-0.030398122,0.003556566,-0.002687267,0.025660972,0.037019962,0.009282476,-0.005128327,0.02127485,-0.003598388
-0.01316926,0.059439307,0.004779438,-0.029118408,0.02643536,-0.01230646,0.011365172,0.01275072,0.01071597,-0.012177255
0.003074065,-0.006682782,0.004541211,-0.005878573,0.004056304,0.003980872,0.011337305,0.006391255,0.003082229,-0.003237593
